audition_id,requirement_id,talent_id,audition_date,audition_format,technical_score,artistic_score,response_to_direction_score,safety_awareness_score,panel_score,audition_outcome,panel_notes
AUD-000046,REQ-0001,TAL-0155,2026-07-09,Self-Tape,88.2,76.1,74.1,92.5,82.15,Pass,Further assessment recommended before final casting.
AUD-000047,REQ-0001,TAL-0488,2026-07-11,Self-Tape,81.7,92.2,83.2,86.8,86.25,Pass,Does not yet meet the production-specific performance threshold.
AUD-000048,REQ-0001,TAL-0380,2026-07-08,In Person,80.1,71.6,78.4,91.8,78.54,Hold,Does not yet meet the production-specific performance threshold.
AUD-000049,REQ-0001,TAL-0277,2026-07-08,Live Video,68.1,88.9,79.8,85.2,79.67,Hold,Technically capable with minor coaching needs.
AUD-000050,REQ-0001,TAL-0472,2026-07-07,Live Video,63.6,100.0,78.5,75.0,80.25,Hold,Technically capable with minor coaching needs.
AUD-000051,REQ-0004,TAL-0485,2026-08-08,Live Video,69.6,74.1,80.0,74.2,73.65,Pass,Good ensemble awareness and reliable preparation.
AUD-000052,REQ-0004,TAL-0384,2026-08-07,Self-Tape,84.9,100.0,98.3,52.8,87.95,Pass,Further assessment recommended before final casting.
AUD-000053,REQ-0004,TAL-0055,2026-08-08,Live Video,78.3,85.3,90.1,25.0,75.34,Pass,Does not yet meet the production-specific performance threshold.
AUD-000054,REQ-0004,TAL-0168,2026-08-09,Self-Tape,75.8,96.2,96.2,83.1,87.43,Pass,Good ensemble awareness and reliable preparation.
AUD-000055,REQ-0004,TAL-0187,2026-08-08,Live Video,75.3,85.2,78.7,71.1,78.69,Pass,Does not yet meet the production-specific performance threshold.
AUD-000056,REQ-0004,TAL-0098,2026-08-06,Self-Tape,100.0,94.3,100.0,95.1,97.38,Pass,Good ensemble awareness and reliable preparation.
AUD-000057,REQ-0004,TAL-0027,2026-08-06,Live Video,86.3,80.5,87.0,79.3,83.47,Pass,Does not yet meet the production-specific performance threshold.
AUD-000058,REQ-0004,TAL-0149,2026-08-09,Live Video,92.5,100.0,82.1,88.5,92.62,Pass,Strong fit for the production vocabulary.
AUD-000059,REQ-0004,TAL-0124,2026-08-09,Self-Tape,76.0,96.7,90.9,96.4,88.58,Pass,Does not yet meet the production-specific performance threshold.
AUD-000060,REQ-0004,TAL-0410,2026-08-06,Live Video,90.8,85.0,88.1,77.7,86.51,Pass,Technically capable with minor coaching needs.
AUD-000061,REQ-0004,TAL-0076,2026-08-08,In Person,92.1,91.9,73.6,70.0,85.61,Pass,Good ensemble awareness and reliable preparation.
AUD-000062,REQ-0004,TAL-0281,2026-08-06,Self-Tape,80.1,75.2,100.0,25.0,74.3,Pass,Good ensemble awareness and reliable preparation.
AUD-000063,REQ-0004,TAL-0317,2026-08-09,Live Video,70.9,71.7,89.1,79.7,75.68,Pass,Strong fit for the production vocabulary.
AUD-000064,REQ-0004,TAL-0158,2026-08-10,In Person,94.5,93.9,83.3,77.0,89.83,Pass,Technically capable with minor coaching needs.
AUD-000065,REQ-0004,TAL-0092,2026-08-07,Technical Assessment,85.2,87.1,79.7,75.5,83.5,Pass,Technically capable with minor coaching needs.
AUD-000066,REQ-0004,TAL-0393,2026-08-09,In Person,95.0,85.4,89.9,92.5,90.47,Pass,Strong fit for the production vocabulary.
AUD-000067,REQ-0004,TAL-0326,2026-08-08,In Person,70.6,74.3,83.7,70.5,74.2,Pass,Technically capable with minor coaching needs.
AUD-000068,REQ-0004,TAL-0405,2026-08-07,Self-Tape,100.0,100.0,81.2,90.9,95.34,Pass,Good ensemble awareness and reliable preparation.
AUD-000069,REQ-0004,TAL-0445,2026-08-07,Live Video,100.0,71.2,94.6,79.0,86.3,Pass,Technically capable with minor coaching needs.
AUD-000070,REQ-0004,TAL-0225,2026-08-10,Live Video,84.6,90.4,75.5,88.6,85.49,Pass,Further assessment recommended before final casting.
AUD-000071,REQ-0004,TAL-0378,2026-08-10,In Person,86.1,81.6,95.4,69.2,83.88,Pass,Strong fit for the production vocabulary.
AUD-000072,REQ-0004,TAL-0005,2026-08-07,In Person,83.0,83.8,72.5,74.8,80.23,Pass,Further assessment recommended before final casting.
AUD-000073,REQ-0004,TAL-0471,2026-08-07,Self-Tape,94.3,99.1,94.5,88.3,95.13,Pass,Does not yet meet the production-specific performance threshold.
AUD-000074,REQ-0004,TAL-0036,2026-08-08,Self-Tape,89.4,75.7,85.5,84.9,83.41,Pass,Good ensemble awareness and reliable preparation.
AUD-000075,REQ-0004,TAL-0425,2026-08-09,In Person,88.2,80.0,87.3,93.8,86.03,Pass,Technically capable with minor coaching needs.
AUD-000076,REQ-0004,TAL-0274,2026-08-09,Technical Assessment,90.2,87.1,92.0,89.3,89.34,Pass,Good ensemble awareness and reliable preparation.
AUD-000077,REQ-0004,TAL-0157,2026-08-08,Self-Tape,78.1,97.5,83.3,87.0,86.88,Pass,Further assessment recommended before final casting.
AUD-000078,REQ-0004,TAL-0293,2026-08-07,Self-Tape,99.9,96.0,77.9,87.5,92.88,Pass,Further assessment recommended before final casting.
AUD-000079,REQ-0004,TAL-0294,2026-08-09,Technical Assessment,90.1,92.4,92.1,89.2,91.12,Pass,Does not yet meet the production-specific performance threshold.
AUD-000080,REQ-0004,TAL-0394,2026-08-06,In Person,85.7,97.7,62.3,88.2,85.92,Pass,Strong fit for the production vocabulary.
AUD-000081,REQ-0004,TAL-0304,2026-08-08,In Person,66.6,76.9,60.4,75.9,70.29,Pass,Does not yet meet the production-specific performance threshold.
AUD-000082,REQ-0004,TAL-0106,2026-08-08,Live Video,92.2,93.2,87.8,79.6,89.98,Pass,Technically capable with minor coaching needs.
AUD-000083,REQ-0004,TAL-0086,2026-08-06,In Person,72.0,78.4,85.9,84.5,78.43,Pass,Technically capable with minor coaching needs.
AUD-000084,REQ-0004,TAL-0101,2026-08-10,Self-Tape,77.1,90.7,59.8,89.4,80.33,Pass,Does not yet meet the production-specific performance threshold.
AUD-000085,REQ-0004,TAL-0035,2026-08-10,Live Video,79.6,77.5,80.6,76.6,78.65,Pass,Good ensemble awareness and reliable preparation.
AUD-000086,REQ-0004,TAL-0450,2026-08-07,Live Video,84.7,82.0,89.6,92.7,85.78,Pass,Further assessment recommended before final casting.
AUD-000087,REQ-0004,TAL-0268,2026-08-06,In Person,79.7,65.2,87.2,96.3,78.44,Pass,Further assessment recommended before final casting.
AUD-000088,REQ-0004,TAL-0022,2026-08-09,Live Video,85.4,79.3,85.1,98.9,85.16,Pass,Technically capable with minor coaching needs.
AUD-000089,REQ-0004,TAL-0123,2026-08-09,Self-Tape,82.9,76.2,77.8,85.6,80.08,Pass,Strong fit for the production vocabulary.
AUD-000090,REQ-0004,TAL-0050,2026-08-06,In Person,84.4,73.5,89.7,85.2,81.76,Pass,Further assessment recommended before final casting.
AUD-000091,REQ-0004,TAL-0284,2026-08-07,Self-Tape,82.3,100.0,100.0,79.3,91.08,Pass,Does not yet meet the production-specific performance threshold.
AUD-000092,REQ-0004,TAL-0202,2026-08-07,Live Video,78.3,97.8,89.2,96.3,89.41,Pass,Good ensemble awareness and reliable preparation.
AUD-000093,REQ-0004,TAL-0011,2026-08-10,Technical Assessment,83.1,79.9,85.1,65.5,79.91,Pass,Technically capable with minor coaching needs.
AUD-000094,REQ-0004,TAL-0089,2026-08-09,In Person,70.1,72.0,77.1,82.8,73.78,Pass,Further assessment recommended before final casting.
AUD-000095,REQ-0004,TAL-0151,2026-08-10,Technical Assessment,77.7,82.5,85.4,85.7,81.84,Pass,Good ensemble awareness and reliable preparation.
AUD-000096,REQ-0004,TAL-0253,2026-08-06,Self-Tape,83.4,83.3,76.3,82.2,81.92,Pass,Technically capable with minor coaching needs.
AUD-000097,REQ-0004,TAL-0491,2026-08-10,In Person,64.1,87.0,75.4,78.1,75.88,Pass,Good ensemble awareness and reliable preparation.
AUD-000098,REQ-0004,TAL-0144,2026-08-07,Live Video,67.0,96.5,75.3,80.5,80.41,Pass,Technically capable with minor coaching needs.
AUD-000099,REQ-0004,TAL-0285,2026-08-10,In Person,68.7,82.1,79.0,86.7,77.63,Pass,Good ensemble awareness and reliable preparation.
AUD-000100,REQ-0004,TAL-0054,2026-08-08,Self-Tape,100.0,100.0,94.8,75.2,95.59,Pass,Does not yet meet the production-specific performance threshold.
AUD-000101,REQ-0005,TAL-0218,2026-07-17,Live Video,67.5,100.0,63.8,79.3,79.54,Pass,Good ensemble awareness and reliable preparation.
AUD-000102,REQ-0005,TAL-0461,2026-07-15,In Person,87.7,93.7,100.0,90.2,92.3,Pass,Good ensemble awareness and reliable preparation.
AUD-000103,REQ-0005,TAL-0108,2026-07-18,Live Video,75.9,89.7,93.3,76.6,83.82,Pass,Does not yet meet the production-specific performance threshold.
AUD-000104,REQ-0005,TAL-0398,2026-07-18,Technical Assessment,85.4,76.8,83.0,85.2,82.02,Pass,Technically capable with minor coaching needs.
AUD-000105,REQ-0005,TAL-0011,2026-07-15,In Person,80.3,93.9,85.3,69.9,84.37,Pass,Further assessment recommended before final casting.
AUD-000106,REQ-0005,TAL-0255,2026-07-18,Live Video,55.5,67.0,74.6,75.9,65.7,Hold,Strong fit for the production vocabulary.
AUD-000107,REQ-0005,TAL-0320,2026-07-17,Technical Assessment,83.8,78.7,78.9,89.3,81.95,Pass,Further assessment recommended before final casting.
AUD-000108,REQ-0005,TAL-0322,2026-07-19,In Person,100.0,76.3,100.0,82.1,89.44,Pass,Strong fit for the production vocabulary.
AUD-000109,REQ-0005,TAL-0444,2026-07-15,Technical Assessment,94.3,86.2,60.9,95.4,85.69,Pass,Further assessment recommended before final casting.
AUD-000110,REQ-0005,TAL-0004,2026-07-17,In Person,69.9,72.3,91.5,77.6,75.68,Pass,Technically capable with minor coaching needs.
AUD-000111,REQ-0005,TAL-0167,2026-07-15,In Person,90.1,91.1,71.0,85.0,86.29,Pass,Technically capable with minor coaching needs.
AUD-000112,REQ-0005,TAL-0407,2026-07-18,Live Video,79.6,100.0,100.0,82.4,90.6,Pass,Does not yet meet the production-specific performance threshold.
AUD-000113,REQ-0005,TAL-0307,2026-07-18,In Person,89.2,83.6,66.6,73.9,81.09,Pass,Further assessment recommended before final casting.
AUD-000114,REQ-0005,TAL-0465,2026-07-15,In Person,83.1,86.2,68.2,82.0,81.32,Pass,Technically capable with minor coaching needs.
AUD-000115,REQ-0005,TAL-0271,2026-07-15,Self-Tape,82.0,96.8,77.4,72.9,84.93,Pass,Does not yet meet the production-specific performance threshold.
AUD-000116,REQ-0005,TAL-0287,2026-07-19,Self-Tape,70.9,93.3,87.8,85.5,83.6,Pass,Does not yet meet the production-specific performance threshold.
AUD-000117,REQ-0005,TAL-0390,2026-07-19,Live Video,79.1,100.0,58.6,97.6,85.11,Pass,Good ensemble awareness and reliable preparation.
AUD-000118,REQ-0005,TAL-0212,2026-07-15,In Person,68.4,57.7,76.8,93.0,69.72,Hold,Technically capable with minor coaching needs.
AUD-000119,REQ-0005,TAL-0143,2026-07-15,Live Video,57.4,72.0,82.9,79.2,70.01,Hold,Technically capable with minor coaching needs.
AUD-000120,REQ-0005,TAL-0364,2026-07-15,Live Video,77.3,67.9,100.0,25.0,70.87,Hold,Does not yet meet the production-specific performance threshold.
AUD-000121,REQ-0005,TAL-0266,2026-07-18,Self-Tape,84.3,89.1,62.1,75.0,80.63,Pass,Does not yet meet the production-specific performance threshold.
AUD-000122,REQ-0005,TAL-0475,2026-07-17,In Person,91.2,89.8,96.0,37.8,84.11,Pass,Does not yet meet the production-specific performance threshold.
AUD-000123,REQ-0005,TAL-0477,2026-07-18,Live Video,100.0,90.8,71.6,97.9,91.47,Pass,Strong fit for the production vocabulary.
AUD-000124,REQ-0005,TAL-0421,2026-07-17,In Person,100.0,91.7,90.8,85.9,93.55,Pass,Technically capable with minor coaching needs.
AUD-000125,REQ-0005,TAL-0030,2026-07-15,Self-Tape,88.3,82.9,75.1,88.7,84.14,Pass,Strong fit for the production vocabulary.
AUD-000126,REQ-0005,TAL-0308,2026-07-17,In Person,49.6,78.9,71.0,70.9,66.4,Hold,Strong fit for the production vocabulary.
AUD-000127,REQ-0005,TAL-0014,2026-07-19,Self-Tape,58.5,76.0,96.3,85.4,75.02,Pass,Good ensemble awareness and reliable preparation.
AUD-000128,REQ-0005,TAL-0118,2026-07-15,Live Video,79.9,79.7,62.4,80.1,76.71,Pass,Does not yet meet the production-specific performance threshold.
AUD-000129,REQ-0005,TAL-0470,2026-07-18,Live Video,95.6,71.6,96.3,93.1,87.22,Pass,Strong fit for the production vocabulary.
AUD-000130,REQ-0005,TAL-0140,2026-07-17,Live Video,99.6,100.0,71.9,94.2,93.99,Pass,Strong fit for the production vocabulary.
AUD-000131,REQ-0005,TAL-0389,2026-07-16,Self-Tape,100.0,88.7,93.4,82.0,92.45,Pass,Technically capable with minor coaching needs.
AUD-000132,REQ-0005,TAL-0203,2026-07-17,In Person,76.2,96.1,77.6,86.4,84.65,Pass,Strong fit for the production vocabulary.
AUD-000133,REQ-0005,TAL-0451,2026-07-16,Live Video,94.1,79.5,69.4,88.0,83.84,Pass,Further assessment recommended before final casting.
AUD-000134,REQ-0005,TAL-0060,2026-07-19,Technical Assessment,70.5,52.8,100.0,85.4,71.88,Hold,Strong fit for the production vocabulary.
AUD-000135,REQ-0005,TAL-0093,2026-07-15,Self-Tape,56.1,82.0,70.3,97.8,73.3,Pass,Strong fit for the production vocabulary.
AUD-000136,REQ-0005,TAL-0422,2026-07-16,Self-Tape,100.0,100.0,86.7,77.2,94.41,Pass,Strong fit for the production vocabulary.
AUD-000137,REQ-0005,TAL-0183,2026-07-15,Live Video,91.9,100.0,64.0,85.8,88.78,Pass,Does not yet meet the production-specific performance threshold.
AUD-000138,REQ-0005,TAL-0284,2026-07-15,In Person,93.9,94.5,100.0,77.4,92.89,Pass,Further assessment recommended before final casting.
AUD-000139,REQ-0005,TAL-0082,2026-07-18,In Person,100.0,95.6,98.6,93.2,97.3,Pass,Strong fit for the production vocabulary.
AUD-000140,REQ-0005,TAL-0145,2026-07-16,Live Video,99.0,86.0,91.3,80.9,90.66,Pass,Further assessment recommended before final casting.
AUD-000141,REQ-0005,TAL-0207,2026-07-18,Live Video,75.9,48.0,78.1,70.1,66.0,Hold,Good ensemble awareness and reliable preparation.
AUD-000142,REQ-0005,TAL-0115,2026-07-16,Technical Assessment,33.7,78.2,58.0,87.0,60.67,Fail,Further assessment recommended before final casting.
AUD-000143,REQ-0005,TAL-0149,2026-07-19,Live Video,100.0,100.0,97.5,88.1,97.88,Pass,Strong fit for the production vocabulary.
AUD-000144,REQ-0005,TAL-0116,2026-07-15,Technical Assessment,76.2,98.7,86.0,76.4,85.64,Pass,Does not yet meet the production-specific performance threshold.
AUD-000145,REQ-0005,TAL-0087,2026-07-17,Live Video,100.0,94.7,78.2,93.9,93.42,Pass,Further assessment recommended before final casting.
AUD-000146,REQ-0005,TAL-0395,2026-07-18,Self-Tape,98.3,95.0,84.9,25.0,84.5,Pass,Strong fit for the production vocabulary.
AUD-000147,REQ-0005,TAL-0272,2026-07-19,Self-Tape,75.0,90.4,71.0,85.8,81.03,Pass,Does not yet meet the production-specific performance threshold.
AUD-000148,REQ-0005,TAL-0058,2026-07-19,Live Video,84.8,100.0,76.1,97.5,90.18,Pass,Technically capable with minor coaching needs.
AUD-000149,REQ-0005,TAL-0215,2026-07-15,Live Video,85.9,84.4,73.3,25.0,74.6,Pass,Technically capable with minor coaching needs.
AUD-000150,REQ-0005,TAL-0473,2026-07-18,In Person,90.5,78.9,85.8,87.2,85.25,Pass,Further assessment recommended before final casting.
AUD-000151,REQ-0006,TAL-0450,2026-07-15,Live Video,69.5,85.3,93.3,91.5,82.24,Hold,Further assessment recommended before final casting.
AUD-000152,REQ-0006,TAL-0021,2026-07-16,In Person,78.0,88.8,94.0,71.9,83.7,Hold,Further assessment recommended before final casting.
AUD-000153,REQ-0006,TAL-0011,2026-07-14,In Person,95.3,80.7,100.0,86.9,90.01,Pass,Further assessment recommended before final casting.
AUD-000154,REQ-0006,TAL-0139,2026-07-14,Live Video,84.5,75.5,96.7,96.9,85.37,Pass,Further assessment recommended before final casting.
AUD-000155,REQ-0006,TAL-0353,2026-07-17,Self-Tape,78.1,84.7,100.0,89.3,85.85,Pass,Does not yet meet the production-specific performance threshold.
AUD-000156,REQ-0006,TAL-0332,2026-07-16,Technical Assessment,69.8,88.6,100.0,91.3,84.64,Pass,Good ensemble awareness and reliable preparation.
AUD-000157,REQ-0006,TAL-0107,2026-07-17,In Person,99.9,81.9,79.4,84.1,87.88,Pass,Good ensemble awareness and reliable preparation.
AUD-000158,REQ-0006,TAL-0128,2026-07-13,Technical Assessment,74.3,74.0,74.7,96.6,77.39,Hold,Strong fit for the production vocabulary.
AUD-000159,REQ-0006,TAL-0255,2026-07-15,In Person,75.9,66.9,94.0,90.4,78.13,Hold,Further assessment recommended before final casting.
AUD-000160,REQ-0006,TAL-0467,2026-07-13,Technical Assessment,96.7,100.0,95.8,85.4,96.08,Pass,Strong fit for the production vocabulary.
AUD-000161,REQ-0006,TAL-0415,2026-07-13,Self-Tape,87.7,73.3,74.3,73.5,78.4,Hold,Further assessment recommended before final casting.
AUD-000162,REQ-0006,TAL-0209,2026-07-13,In Person,80.8,91.6,69.9,78.3,82.16,Hold,Good ensemble awareness and reliable preparation.
AUD-000163,REQ-0006,TAL-0130,2026-07-17,Live Video,59.2,83.7,65.2,88.4,72.7,Fail,Technically capable with minor coaching needs.
AUD-000164,REQ-0006,TAL-0049,2026-07-14,Technical Assessment,88.4,78.7,71.0,25.0,73.09,Fail,Good ensemble awareness and reliable preparation.
AUD-000165,REQ-0006,TAL-0440,2026-07-15,In Person,82.6,80.7,75.6,84.9,81.02,Hold,Strong fit for the production vocabulary.
AUD-000166,REQ-0006,TAL-0345,2026-07-17,In Person,77.4,80.1,75.3,85.3,79.05,Hold,Good ensemble awareness and reliable preparation.
AUD-000167,REQ-0006,TAL-0376,2026-07-16,Technical Assessment,99.2,100.0,75.7,88.6,93.76,Pass,Strong fit for the production vocabulary.
AUD-000168,REQ-0006,TAL-0430,2026-07-13,Live Video,77.1,66.4,73.8,97.8,75.77,Fail,Good ensemble awareness and reliable preparation.
AUD-000169,REQ-0006,TAL-0138,2026-07-17,Live Video,81.6,82.9,80.2,86.5,82.48,Hold,Does not yet meet the production-specific performance threshold.
AUD-000170,REQ-0006,TAL-0210,2026-07-15,Live Video,78.0,95.6,74.1,90.7,85.06,Pass,Technically capable with minor coaching needs.
AUD-000171,REQ-0006,TAL-0409,2026-07-17,In Person,87.7,100.0,84.4,93.6,92.11,Pass,Does not yet meet the production-specific performance threshold.
AUD-000172,REQ-0006,TAL-0257,2026-07-15,In Person,86.8,79.2,75.1,89.3,82.46,Hold,Technically capable with minor coaching needs.
AUD-000173,REQ-0006,TAL-0110,2026-07-15,Self-Tape,66.6,80.2,76.3,84.7,75.5,Fail,Further assessment recommended before final casting.
AUD-000174,REQ-0006,TAL-0261,2026-07-15,In Person,68.0,60.5,88.2,82.5,71.12,Fail,Technically capable with minor coaching needs.
AUD-000175,REQ-0006,TAL-0218,2026-07-14,Self-Tape,86.8,81.9,71.4,78.4,81.19,Hold,Good ensemble awareness and reliable preparation.
AUD-000176,REQ-0006,TAL-0184,2026-07-17,Self-Tape,85.4,88.0,91.7,96.7,89.0,Pass,Further assessment recommended before final casting.
AUD-000177,REQ-0006,TAL-0017,2026-07-17,Live Video,70.9,94.8,76.2,92.4,82.99,Hold,Good ensemble awareness and reliable preparation.
AUD-000178,REQ-0006,TAL-0159,2026-07-15,Self-Tape,61.0,69.4,88.5,91.0,73.01,Fail,Technically capable with minor coaching needs.
AUD-000179,REQ-0006,TAL-0097,2026-07-17,Live Video,78.0,92.2,85.7,75.8,83.91,Hold,Technically capable with minor coaching needs.
AUD-000180,REQ-0006,TAL-0269,2026-07-17,In Person,100.0,95.1,78.3,78.7,91.45,Pass,Does not yet meet the production-specific performance threshold.
AUD-000181,REQ-0006,TAL-0053,2026-07-14,In Person,100.0,81.9,81.0,73.9,86.77,Pass,Strong fit for the production vocabulary.
AUD-000182,REQ-0006,TAL-0429,2026-07-16,In Person,93.5,87.3,78.1,88.2,87.88,Pass,Good ensemble awareness and reliable preparation.
AUD-000183,REQ-0006,TAL-0444,2026-07-13,Self-Tape,93.1,72.7,90.2,82.1,84.1,Pass,Further assessment recommended before final casting.
AUD-000184,REQ-0006,TAL-0333,2026-07-13,Self-Tape,74.4,90.2,90.8,84.7,84.17,Pass,Strong fit for the production vocabulary.
AUD-000185,REQ-0006,TAL-0242,2026-07-14,Self-Tape,70.3,79.4,92.9,89.0,80.08,Hold,Good ensemble awareness and reliable preparation.
AUD-000186,REQ-0006,TAL-0431,2026-07-15,In Person,89.6,52.1,82.3,89.1,75.47,Fail,Further assessment recommended before final casting.
AUD-000187,REQ-0006,TAL-0426,2026-07-17,In Person,78.4,88.5,90.6,91.7,85.89,Pass,Strong fit for the production vocabulary.
AUD-000188,REQ-0006,TAL-0482,2026-07-15,In Person,97.1,95.8,85.1,87.0,93.08,Pass,Does not yet meet the production-specific performance threshold.
