match_id,requirement_id,talent_id,role_eligible,mandatory_skills_met,full_contract_availability_met,audition_met,physical_technical_eligible,mobility_work_authorization_eligible,safety_certification_eligible,medical_clearance_eligible,language_eligible,overnight_rehearsal_eligible,profile_active,verification_eligible,budget_eligible,experience_eligible,rating_eligible,skill_score,production_credit_score,availability_score,audition_showreel_score,physical_technical_score,mobility_score,reliability_score,safety_compliance_score,budget_score,language_cultural_score,final_match_score,eligibility_status,match_category,positive_match_reasons,risk_factors,rejection_reason,distance_km,audition_score,recommended,recommendation_rank,ground_truth_label
MAT-000011,REQ-0001,TAL-0274,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,19.0,100.0,80.11,100.0,92.0,70.51,100.0,77.08,100.0,82.47,Eligible,Good Match,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE,Weekly rate is close to the maximum production budget,,13184.7,84.46,True,3.0,Positive
MAT-000012,REQ-0001,TAL-0162,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,0.0,23.0,65.71,82.26,100.0,92.0,58.96,0.0,41.03,40.0,45.05,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,11094.5,73.0,False,,Hard Rejection
MAT-000013,REQ-0001,TAL-0005,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,80.5,58.0,100.0,85.97,100.0,92.0,78.72,96.0,66.78,40.0,82.9,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Required language not supported,1588.3,87.02,False,,Hard Rejection
MAT-000014,REQ-0001,TAL-0393,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,39.0,63.0,40.0,74.34,100.0,92.0,83.73,95.7,53.91,40.0,63.06,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported; Overnight rehearsal availability required,1588.3,73.2,False,,Hard Rejection
MAT-000015,REQ-0001,TAL-0059,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,0.0,19.0,100.0,91.83,100.0,76.0,69.09,100.0,89.58,40.0,56.44,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Required language not supported; Overnight rehearsal availability required,2314.2,97.27,False,,Hard Rejection
MAT-000016,REQ-0001,TAL-0031,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,39.0,63.0,100.0,95.34,100.0,92.0,92.76,96.0,61.95,100.0,76.25,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill,6058.6,90.3,False,,Hard Rejection
MAT-000017,REQ-0001,TAL-0013,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,0.0,35.0,100.0,85.45,100.0,92.0,92.78,96.0,94.44,40.0,61.08,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Required language not supported,5241.2,86.59,False,,Hard Rejection
MAT-000018,REQ-0001,TAL-0378,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,100.0,58.0,100.0,90.22,100.0,92.0,66.96,96.0,39.43,100.0,87.75,Eligible,Excellent Match,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE,Weekly rate exceeds the maximum production budget,,10626.8,92.95,True,1.0,Strong Positive
MAT-000019,REQ-0001,TAL-0225,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,80.5,23.0,77.14,93.2,100.0,76.0,66.96,96.0,43.45,40.0,72.14,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,10626.8,87.78,False,,Hard Rejection
MAT-000020,REQ-0001,TAL-0473,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,0.0,23.0,85.71,76.24,100.0,76.0,77.87,93.0,53.91,40.0,52.53,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported; Overnight rehearsal availability required,6903.6,79.97,False,,Hard Rejection
MAT-000021,REQ-0001,TAL-0055,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,58.5,23.0,77.14,84.77,100.0,76.0,69.96,0.0,45.06,100.0,62.45,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied|Supports all mandatory production languages,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Overnight rehearsal availability required,2314.2,70.32,False,,Hard Rejection
MAT-000022,REQ-0001,TAL-0111,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,78.0,19.0,100.0,92.52,100.0,76.0,66.96,96.0,34.6,100.0,75.21,Eligible,Good Match,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE,Weekly rate exceeds the maximum production budget,,1999.8,84.63,True,4.0,Positive
MAT-000023,REQ-0001,TAL-0471,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,78.0,62.0,97.14,91.86,100.0,92.0,79.04,100.0,93.06,40.0,84.04,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets all mandatory production skills|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Not fully available for the contract window; Required language not supported,10626.8,83.04,False,,Hard Rejection
MAT-000024,REQ-0001,TAL-0189,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,0.0,31.0,100.0,87.19,100.0,92.0,72.73,0.0,91.67,40.0,54.37,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Required language not supported,6903.6,82.73,False,,Hard Rejection
MAT-000025,REQ-0001,TAL-0445,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,39.0,23.0,100.0,88.33,100.0,76.0,78.72,96.0,65.17,40.0,66.18,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Required language not supported,13184.7,85.01,False,,Hard Rejection
MAT-000026,REQ-0001,TAL-0231,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,19.5,23.0,100.0,90.44,100.0,92.0,76.29,96.0,88.19,100.0,64.52,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill,5164.8,88.1,False,,Hard Rejection
MAT-000027,REQ-0001,TAL-0416,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,0.0,58.0,71.43,83.9,100.0,76.0,73.96,96.0,49.08,40.0,56.13,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Required language not supported; Overnight rehearsal availability required,8050.6,83.68,False,,Hard Rejection
MAT-000028,REQ-0001,TAL-0384,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,61.0,63.0,65.0,91.3,100.0,76.0,90.98,47.45,76.39,40.0,71.49,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate is close to the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,2314.2,90.54,False,,Hard Rejection
MAT-000029,REQ-0001,TAL-0037,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,0.0,63.0,100.0,92.95,100.0,92.0,92.76,100.0,100.0,40.0,66.4,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Required language not supported; Overnight rehearsal availability required,5474.5,85.31,False,,Hard Rejection
MAT-000030,REQ-0001,TAL-0270,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,0.0,23.0,65.0,94.48,100.0,76.0,78.72,96.0,57.13,100.0,52.75,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied|Supports all mandatory production languages,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window,2314.2,88.5,False,,Hard Rejection
MAT-000031,REQ-0001,TAL-0152,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,0.0,23.0,100.0,83.93,100.0,92.0,64.96,33.5,68.39,100.0,54.48,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied|Supports all mandatory production languages,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Audition or showreel threshold not met,12086.9,76.06,False,,Hard Rejection
MAT-000032,REQ-0001,TAL-0098,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,100.0,23.0,100.0,96.95,100.0,76.0,78.72,96.0,51.49,100.0,83.08,Eligible,Good Match,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE,Weekly rate exceeds the maximum production budget,,1588.3,93.65,True,2.0,Positive
MAT-000033,REQ-0001,TAL-0064,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,0.0,31.0,88.57,82.05,100.0,20.0,84.44,96.0,91.67,40.0,52.0,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets physical and technical suitability requirements|Required safety credentials and medical clearance are satisfied,,"Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Travel, passport, visa, or work authorisation condition not met; Required language not supported; Overnight rehearsal availability required; Identity or professional references not fully verified",5136.8,79.83,False,,Hard Rejection
MAT-000034,REQ-0001,TAL-0459,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,74.0,74.29,88.68,100.0,92.0,84.51,100.0,90.97,40.0,62.92,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,5999.8,88.56,False,,Hard Rejection
MAT-000035,REQ-0001,TAL-0168,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,78.0,98.0,100.0,90.45,100.0,92.0,92.76,100.0,77.08,40.0,90.21,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Relevant history across 12 completed productions|Meets audition and showreel thresholds|Meets physical and technical suitability requirements,Weekly rate is close to the maximum production budget,Required language not supported,13184.7,90.07,False,,Hard Rejection
MAT-000036,REQ-0001,TAL-0161,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,23.0,85.71,86.17,100.0,76.0,78.72,96.0,85.42,40.0,54.68,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,11690.8,82.35,False,,Hard Rejection
MAT-000037,REQ-0001,TAL-0487,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,0.0,8.0,91.43,78.68,100.0,92.0,78.72,96.0,41.84,40.0,52.51,Not Eligible,Not Eligible,Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Required language not supported,1999.8,83.0,False,,Hard Rejection
MAT-000038,REQ-0001,TAL-0256,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,0.0,43.0,85.71,90.1,100.0,92.0,78.72,96.0,0.0,40.0,56.79,Not Eligible,Not Eligible,Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,5241.2,80.79,False,,Hard Rejection
MAT-000039,REQ-0001,TAL-0217,False,False,True,True,True,True,True,True,False,False,True,True,False,True,True,0.0,55.0,100.0,92.23,100.0,76.0,86.7,100.0,5.63,10.0,59.99,Not Eligible,Not Eligible,Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Required language not supported; Overnight rehearsal availability required,5164.8,83.93,False,,Hard Rejection
MAT-000040,REQ-0001,TAL-0444,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,0.0,12.0,14.29,83.01,100.0,92.0,80.15,96.0,0.8,40.0,40.84,Not Eligible,Not Eligible,Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Required language not supported; Overnight rehearsal availability required,11094.5,88.98,False,,Hard Rejection
MAT-000041,REQ-0001,TAL-0074,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,0.0,20.0,62.86,90.41,100.0,76.0,93.83,100.0,75.0,40.0,52.17,Not Eligible,Not Eligible,Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate is close to the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,8050.6,80.02,False,,Hard Rejection
MAT-000042,REQ-0001,TAL-0032,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,22.0,98.0,85.71,89.44,100.0,92.0,92.76,100.0,98.61,40.0,74.61,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Relevant history across 12 completed productions|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,12086.9,92.52,False,,Hard Rejection
MAT-000043,REQ-0001,TAL-0491,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,0.0,23.0,100.0,79.85,100.0,76.0,66.96,96.0,45.86,40.0,54.18,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Required language not supported,779.2,83.8,False,,Hard Rejection
MAT-000044,REQ-0001,TAL-0183,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,32.0,88.57,92.79,100.0,76.0,83.35,96.0,77.78,40.0,57.21,Not Eligible,Not Eligible,Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate is close to the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Required language not supported,4636.1,84.97,False,,Hard Rejection
MAT-000045,REQ-0001,TAL-0264,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,0.0,43.0,65.0,84.24,100.0,92.0,66.96,96.0,59.54,40.0,54.06,Not Eligible,Not Eligible,Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Required language not supported,5136.8,82.33,False,,Hard Rejection
MAT-000046,REQ-0001,TAL-0155,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,0.0,83.0,88.57,75.47,100.0,92.0,98.92,96.0,52.3,40.0,64.74,Not Eligible,Not Eligible,Relevant history across 12 completed productions|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,7004.5,82.15,False,,Hard Rejection
MAT-000047,REQ-0001,TAL-0488,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,32.0,20.0,81.7,100.0,76.0,83.48,96.0,93.06,40.0,46.29,Not Eligible,Not Eligible,Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Required language not supported,6303.3,86.25,False,,Hard Rejection
MAT-000048,REQ-0001,TAL-0380,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,0.0,8.0,65.71,81.69,100.0,76.0,83.43,96.0,51.49,40.0,48.29,Not Eligible,Not Eligible,Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported; Overnight rehearsal availability required,4636.1,78.54,False,,Hard Rejection
MAT-000049,REQ-0001,TAL-0277,False,False,False,False,True,True,True,True,False,True,False,True,True,True,False,0.0,8.0,31.43,87.59,100.0,76.0,84.3,100.0,76.39,40.0,44.75,Not Eligible,Not Eligible,Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate is close to the maximum production budget|Profile information is incomplete,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported; Profile inactive,5164.8,79.67,False,,Hard Rejection
MAT-000050,REQ-0001,TAL-0472,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,0.0,16.0,65.0,82.36,100.0,92.0,98.78,96.0,31.38,40.0,51.2,Not Eligible,Not Eligible,Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Required discipline or talent category not matched; Missing mandatory production skill; Not fully available for the contract window; Audition or showreel threshold not met; Required language not supported,5164.8,80.25,False,,Hard Rejection
MAT-000051,REQ-0002,TAL-0267,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,23.0,100.0,91.04,100.0,92.0,77.69,93.3,89.06,100.0,84.69,Eligible,Good Match,Eligible for the required Dancer discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for Saudi Arabia,,,4104.8,,False,,Positive
MAT-000052,REQ-0002,TAL-0146,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,100.0,19.0,100.0,86.12,100.0,92.0,67.94,100.0,33.6,100.0,81.59,Eligible,Good Match,Eligible for the required Dancer discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for Saudi Arabia,Weekly rate exceeds the maximum production budget,,6516.1,,False,,Positive
MAT-000053,REQ-0002,TAL-0044,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,61.0,19.0,91.43,89.12,100.0,92.0,66.96,96.0,50.4,100.0,71.09,Not Eligible,Not Eligible,Eligible for the required Dancer discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for Saudi Arabia|Required safety credentials and medical clearance are satisfied|Supports all mandatory production languages,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window,1588.3,,False,,Hard Rejection
