requirement_id,production_id,production_title,production_type,fictional_client_id,required_category,required_primary_role,acceptable_secondary_roles,mandatory_skills,preferred_skills,city,country,latitude,longitude,venue_type,rehearsal_start_date,rehearsal_end_date,technical_rehearsal_start_date,technical_rehearsal_end_date,performance_start_date,performance_end_date,number_of_performances,contract_duration_days,talent_required,ensemble_or_solo,minimum_experience_years,minimum_director_rating,minimum_showreel_score,minimum_audition_score,physical_skill_requirement,aquatic_experience_required,aerial_experience_required,stunt_experience_required,required_safety_certifications,medical_clearance_required,audition_required,passport_validity_months_required,visa_sponsorship_available,required_languages,overnight_rehearsal_required,weekly_budget_min_usd,weekly_budget_max_usd,travel_provided,accommodation_provided,per_diem_usd,production_risk_level,urgency_level,booking_created_date,application_deadline,special_instructions,requirement_status
REQ-0022,PROD-0022,Stand-alone human-resource implementation Resident Show,Cultural Landmark Ceremony,CLI-0023,Creative,Projection Designer,Composer|Lighting Designer,Projection Design|Large-Format Projection|Media Servers,Creative Content Integration|Previsualization,Riyadh,Saudi Arabia,24.7136,46.6753,Heritage Site,2027-02-05,2027-02-13,2027-02-07,2027-02-13,2027-02-14,2027-02-25,18,21,1,Featured,8.4,4.4,70.4,73.2,Standard,False,False,False,First Aid,False,True,6,True,English|Arabic,False,3400.0,5800.0,True,False,100.0,High,Standard,2026-07-01,2026-07-21,Strong ensemble discipline and rapid response to creative notes required.,Open
REQ-0023,PROD-0023,Face-to-face empowering artificial intelligence Resident Show,Themed Entertainment Spectacle,CLI-0020,Performer,Aerial Artist,Acrobatic Performer|Character Performer,Aerial Conditioning|Cue Precision,Bungee Choreography|Aerial Silks|Flying Harness,Macau,Macau,22.1987,113.5439,Arena,2026-09-20,2026-09-22,2026-09-21,2026-09-22,2026-09-23,2026-09-26,10,7,10,Ensemble,9.6,3.8,66.2,60.3,Athletic,False,True,False,Working at Height,True,True,6,True,English,False,2300.0,3850.0,True,True,80.0,High,High,2026-07-04,2026-07-31,Role requires cross-department collaboration during technical integration.,Shortlisting
REQ-0024,PROD-0024,Optimized responsive encoding Parade,Outdoor Multimedia Spectacle,CLI-0014,Creative,Projection Designer,Lighting Designer,Content Mapping|Timecode|Media Servers|Show Control,Projection Design|Large-Format Projection,Dubai,UAE,25.2048,55.2708,Theme Park,2026-08-27,2026-08-30,2026-08-27,2026-08-30,2026-08-31,2026-09-05,3,10,2,Ensemble,7.1,4.2,83.9,0.0,Standard,False,False,False,First Aid,False,False,18,True,English|Arabic,False,3650.0,6700.0,True,True,105.0,Medium,Critical,2026-06-29,2026-07-09,Candidate must attend all rehearsals and technical calls.,Shortlisting
REQ-0025,PROD-0025,Programmable well-modulated website Parade,Integrated Resort Show,CLI-0057,Performer,Vocalist,,Live Vocals|In-Ear Monitoring|Harmony Singing,Character Vocals|Multilingual Repertoire,Jeddah,Saudi Arabia,21.4858,39.1925,Arena,2026-12-28,2027-01-05,2026-12-30,2027-01-05,2027-01-06,2027-01-24,40,28,2,Ensemble,5.4,4.2,61.1,61.2,Athletic,False,False,False,,False,True,12,True,English|Arabic,False,2450.0,4000.0,True,True,105.0,Medium,Standard,2026-07-13,2026-07-22,Strong ensemble discipline and rapid response to creative notes required.,Shortlisting
REQ-0026,PROD-0026,Seamless system-worthy software Parade,Large-Scale Parade,CLI-0073,Production & Operations,Stage Manager,,Show Calling|Emergency Procedures,Cast Coordination|Backstage Coordination,Las Vegas,United States,36.1699,-115.1398,Public Waterfront,2026-09-27,2026-10-04,2026-09-30,2026-10-04,2026-10-05,2026-10-17,10,21,20,Ensemble,10.9,4.4,0.0,0.0,Standard,False,False,False,,False,False,6,True,English,False,3850.0,6100.0,True,True,50.0,Low,Standard,2026-07-10,2026-07-20,Role requires cross-department collaboration during technical integration.,Open
REQ-0027,PROD-0027,Future-proofed executive projection Spectacle,Festival Headline Production,CLI-0049,Technical,Lighting Programmer,Rigger|Audio Engineer,Cueing|Networked Lighting|GrandMA Programming,Troubleshooting,Las Vegas,United States,36.1699,-115.1398,Theme Park,2026-12-05,2026-12-08,2026-12-06,2026-12-08,2026-12-09,2026-12-14,1,10,1,Solo,9.0,3.8,0.0,0.0,Standard,False,False,False,First Aid,False,False,6,True,English,False,3950.0,6300.0,True,False,75.0,Medium,Standard,2026-07-15,2026-07-26,International travel documents must be ready before contracting.,Shortlisting
REQ-0028,PROD-0028,User-friendly national workforce Resident Show,Cultural Landmark Ceremony,CLI-0019,Creative,Composer,,Recording Supervision|Cultural Music Research,Arrangement,Abu Dhabi,UAE,24.4539,54.3773,Integrated Resort Theatre,2027-01-08,2027-01-21,2027-01-17,2027-01-21,2027-01-22,2027-02-04,2,28,6,Ensemble,4.9,4.2,73.8,74.3,Standard,False,False,False,,False,True,6,True,English,True,5000.0,7300.0,True,True,70.0,Low,Standard,2026-07-12,2026-07-31,International travel documents must be ready before contracting.,Open
REQ-0029,PROD-0029,Future-proofed incremental core Parade,Touring Arena Production,CLI-0014,Performer,Musician,Dancer|Acrobatic Performer,Instrument Maintenance|Click Track,Ensemble Performance,Las Vegas,United States,36.1699,-115.1398,Integrated Resort Theatre,2026-08-08,2026-08-28,2026-08-22,2026-08-28,2026-08-29,2026-10-02,71,56,40,Ensemble,3.2,4.2,59.5,81.7,Athletic,False,False,False,,False,True,18,True,English,True,3050.0,6050.0,True,True,95.0,Medium,Standard,2026-07-15,2026-08-05,Candidate must attend all rehearsals and technical calls.,Shortlisting
REQ-0030,PROD-0030,Cloned contextually-based challenge Resident Show,Large-Scale Parade,CLI-0019,Production & Operations,Safety Manager,Stage Manager,Risk Assessment|Entertainment Safety|Aquatic Safety,Crowd Safety|Regulatory Compliance,Abu Dhabi,UAE,24.4539,54.3773,Arena,2027-01-12,2027-01-14,2027-01-12,2027-01-14,2027-01-15,2027-01-18,3,7,40,Ensemble,4.4,4.0,0.0,0.0,Standard,False,False,False,,False,False,6,True,English,False,6350.0,9300.0,True,True,130.0,Medium,Standard,2026-07-11,2026-07-27,Role requires cross-department collaboration during technical integration.,Shortlisting
REQ-0031,PROD-0031,Implemented bifurcated productivity Resident Show,Touring Arena Production,CLI-0039,Technical,Rigger,,High-Wire Rigging|Load Calculations|Entertainment Rigging,Rescue Planning|Inspection Documentation,Riyadh,Saudi Arabia,24.7136,46.6753,Purpose-Built Theatre,2026-12-11,2027-01-02,2026-12-30,2027-01-02,2027-01-03,2027-01-21,33,42,1,Solo,4.4,4.2,0.0,0.0,Standard,False,False,False,Entertainment Rigging Level 2|Working at Height,False,False,9,True,English,True,2750.0,3850.0,True,True,135.0,High,Standard,2026-07-09,2026-08-08,Production includes complex cueing and strict safety briefings.,Open
REQ-0032,PROD-0032,Persevering regional knowledge user Parade,Experiential Dining Show,CLI-0079,Creative,Show Director,Costume Designer|Sound Designer,Opening Readiness|Creative Documentation|Cue Integration,Rehearsal Direction,Jeddah,Saudi Arabia,21.4858,39.1925,Water Stage,2026-10-02,2026-10-10,2026-10-05,2026-10-10,2026-10-11,2026-10-22,4,21,1,Featured,8.0,3.8,69.1,72.1,Standard,False,False,False,First Aid,False,True,9,True,English,True,7100.0,9300.0,True,True,35.0,Medium,Critical,2026-07-02,2026-07-17,Production includes complex cueing and strict safety briefings.,Open
REQ-0033,PROD-0033,Future-proofed tangible process improvement Spectacle,Immersive Theatre,CLI-0003,Creative,Associate Director,,Cover Rehearsals|Cross-Department Coordination|Performance Reports|Creative Documentation,Cast Notes|Blocking,Paris,France,48.8566,2.3522,Purpose-Built Theatre,2026-10-11,2026-10-20,2026-10-15,2026-10-20,2026-10-21,2026-11-07,39,28,4,Ensemble,4.6,4.4,71.6,0.0,Standard,False,False,False,,False,False,12,False,English|French,True,4150.0,8050.0,True,False,110.0,Medium,Standard,2026-07-02,2026-07-21,Candidate must attend all rehearsals and technical calls.,Shortlisting
REQ-0034,PROD-0034,Pre-emptive content-based Graphic Interface Ceremony,Opening Ceremony,CLI-0039,Performer,Dancer,,Ensemble Choreography|Commercial Dance|Bollywood Dance|Partnering,Night Rehearsals|Ballet,Macau,Macau,22.1987,113.5439,Parade Route,2027-01-27,2027-01-29,2027-01-28,2027-01-29,2027-01-30,2027-02-02,10,7,1,Department Lead,3.0,4.0,79.7,82.7,Athletic,False,False,False,,False,True,18,True,English,False,2100.0,4300.0,True,True,105.0,Low,Standard,2026-07-05,2026-07-24,Strong ensemble discipline and rapid response to creative notes required.,Shortlisting
REQ-0035,PROD-0035,Ameliorated coherent application Parade,Opening Ceremony,CLI-0067,Performer,Vocalist,Musician|Dancer,Character Vocals|Live Vocals|In-Ear Monitoring|Vocal Endurance,Click Track|Multilingual Repertoire|Ensemble Performance,New York,United States,40.7128,-74.006,Integrated Resort Theatre,2027-01-25,2027-02-06,2027-02-04,2027-02-06,2027-02-07,2027-02-21,52,28,2,Ensemble,4.9,4.4,64.9,73.0,Standard,False,False,False,,False,True,6,True,English|Spanish,False,3350.0,6950.0,False,True,120.0,Medium,High,2026-07-06,2026-07-27,Night rehearsals may be scheduled to protect the creative reveal.,Open
REQ-0036,PROD-0036,Public-key 3rdgeneration contingency Spectacle,Festival Headline Production,CLI-0072,Performer,Vocalist,,Character Vocals|Harmony Singing|In-Ear Monitoring,Ensemble Performance|Click Track|Vocal Endurance,Dubai,UAE,25.2048,55.2708,Purpose-Built Theatre,2026-08-10,2026-08-27,2026-08-23,2026-08-27,2026-08-28,2026-09-20,75,42,1,Featured,2.6,4.4,77.1,64.8,Athletic,False,False,False,First Aid,False,True,12,True,English,True,3600.0,6450.0,False,True,135.0,Medium,Critical,2026-07-08,2026-07-26,International travel documents must be ready before contracting.,Open
REQ-0037,PROD-0037,Customer-focused executive flexibility Ceremony,Large-Scale Parade,CLI-0071,Performer,Dancer,,Partnering|Character Movement,Commercial Dance|Jazz Dance|Bollywood Dance,Abu Dhabi,UAE,24.4539,54.3773,Heritage Site,2026-10-12,2026-10-18,2026-10-17,2026-10-18,2026-10-19,2026-10-25,24,14,6,Ensemble,7.5,4.6,87.3,73.5,Athletic,False,False,False,,False,True,6,True,English,False,2350.0,4800.0,True,True,120.0,Low,Standard,2026-07-10,2026-08-10,International travel documents must be ready before contracting.,Auditioning
REQ-0038,PROD-0038,De-engineered transitional intranet Experience,Integrated Resort Show,CLI-0064,Performer,Acrobatic Performer,,Hand Balancing|Tumbling|Acrobatic Partnering|Chinese Pole,Safety Spotting|Harness Work,Macau,Macau,22.1987,113.5439,Stadium,2026-12-14,2026-12-18,2026-12-14,2026-12-18,2026-12-19,2026-12-27,26,14,2,Ensemble,5.7,4.2,71.6,68.3,Standard,False,False,False,,False,True,6,False,English,False,3050.0,3900.0,False,True,135.0,Medium,Standard,2026-07-12,2026-07-21,International travel documents must be ready before contracting.,Open
REQ-0039,PROD-0039,Upgradable 24/7 emulation Experience,Opening Ceremony,CLI-0034,Performer,Aerial Artist,Vocalist|Dancer,Flying Harness|Aerial Conditioning|Aerial Hoop,Aerial Straps|Height Safety|Bungee Choreography,Dubai,UAE,25.2048,55.2708,Stadium,2027-01-27,2027-02-10,2027-02-09,2027-02-10,2027-02-11,2027-02-23,10,28,1,Department Lead,7.6,4.0,81.6,76.0,Standard,False,True,False,Working at Height,True,True,9,False,English,False,3150.0,5300.0,False,True,90.0,High,Standard,2026-07-15,2026-08-02,Production includes complex cueing and strict safety briefings.,Auditioning
REQ-0040,PROD-0040,Cross-group coherent access Ceremony,Touring Arena Production,CLI-0011,Performer,Dancer,,Jazz Dance|Night Rehearsals|Partnering|Ballet,Bollywood Dance,Abu Dhabi,UAE,24.4539,54.3773,Theme Park,2026-08-17,2026-08-25,2026-08-22,2026-08-25,2026-08-26,2026-09-06,33,21,1,Solo,9.1,4.4,79.1,79.4,Standard,False,False,False,,False,True,12,True,English,True,3100.0,4950.0,True,True,140.0,Low,High,2026-07-05,2026-07-21,Production includes complex cueing and strict safety briefings.,Open
REQ-0041,PROD-0041,Proactive didactic Graphical User Interface Resident Show,Large-Scale Parade,CLI-0079,Performer,Puppeteer,Trampoline Artist|Character Performer,Creature Movement|Backstage Coordination,Large-Scale Puppetry|Prop Handling|Ensemble Puppetry,Dubai,UAE,25.2048,55.2708,Parade Route,2027-02-10,2027-02-19,2027-02-17,2027-02-19,2027-02-20,2027-03-02,16,21,4,Ensemble,3.6,4.2,73.0,62.1,Athletic,False,True,False,,True,True,6,True,English,False,2750.0,4050.0,False,False,135.0,High,Standard,2026-07-12,2026-07-21,Night rehearsals may be scheduled to protect the creative reveal.,Shortlisting
REQ-0042,PROD-0042,Operative fault-tolerant toolset Resident Show,Festival Headline Production,CLI-0061,Performer,Dancer,,Commercial Dance|Character Movement,Partnering|Night Rehearsals|Ballet,Macau,Macau,22.1987,113.5439,Integrated Resort Theatre,2026-10-11,2026-10-29,2026-10-23,2026-10-29,2026-10-30,2026-11-21,69,42,6,Ensemble,5.4,4.0,72.7,78.5,Standard,False,False,False,,False,True,6,True,English|Mandarin,False,2600.0,4650.0,True,True,80.0,Low,Standard,2026-07-12,2026-08-11,Role requires cross-department collaboration during technical integration.,Open
REQ-0043,PROD-0043,Proactive holistic Local Area Network Parade,Touring Arena Production,CLI-0027,Performer,Vocalist,,Click Track|Ensemble Performance,Multilingual Repertoire,Macau,Macau,22.1987,113.5439,Theme Park,2027-01-09,2027-01-13,2027-01-09,2027-01-13,2027-01-14,2027-01-18,8,10,4,Ensemble,8.9,4.0,74.4,86.5,Athletic,False,True,False,,True,True,12,True,English,False,2900.0,5250.0,False,True,85.0,High,Standard,2026-07-09,2026-08-08,Role requires cross-department collaboration during technical integration.,Open
REQ-0044,PROD-0044,Total 5thgeneration groupware Experience,Opening Ceremony,CLI-0038,Performer,Dancer,Aerial Artist|Musician,Night Rehearsals|Bollywood Dance|Ballet|Commercial Dance,Ensemble Choreography,Dubai,UAE,25.2048,55.2708,Water Stage,2026-10-18,2026-10-27,2026-10-21,2026-10-27,2026-10-28,2026-11-07,28,21,20,Ensemble,6.7,3.8,86.2,0.0,Athletic,False,False,False,,False,False,9,True,English|Hindi,False,2800.0,4800.0,True,True,70.0,Medium,Standard,2026-07-02,2026-07-09,Role requires cross-department collaboration during technical integration.,Open
REQ-0045,PROD-0045,Configurable web-enabled circuit Spectacle,Urban Mega-Celebration,CLI-0063,Technical,Drone Show Technician,,Flight Planning|Airspace Coordination|Emergency Procedures|GNSS Systems,Drone Show Operations,Jeddah,Saudi Arabia,21.4858,39.1925,Heritage Site,2027-01-01,2027-01-23,2027-01-17,2027-01-23,2027-01-24,2027-02-25,48,56,1,Solo,1.3,0.0,0.0,0.0,Standard,False,False,False,Commercial Drone Operator,False,False,12,True,English,False,6900.0,12750.0,False,True,45.0,High,Standard,2026-07-05,2026-07-10,Candidate must attend all rehearsals and technical calls.,Open
