credit_id,talent_id,fictional_client_id,production_title,production_type,role,start_date,end_date,city,country,contract_status,number_of_performances,contract_value_usd,rehearsal_attendance_rate,director_rating,technical_readiness_score,safety_compliance_score,incident_recorded,incident_severity,rehire_eligible,early_termination_party,early_termination_reason,skills_used,director_feedback
CRD-00022,TAL-0425,CLI-0041,Reactive object-oriented hub Ceremony,Cultural Landmark Ceremony,Character Performer,2024-07-18,2024-11-28,Singapore,Singapore,Completed,4,83208.28,0.9641,4.82,82.9,100.0,False,None,True,,,Mask Performance|Wind Assessment,Reliable under pressure and recommended for future productions.
CRD-00023,TAL-0474,CLI-0130,Persistent neutral capacity Parade,Resident Aquatic Show,Aquatic Performer,2024-05-23,2024-08-13,Hong Kong,Hong Kong,Completed,95,36874.58,0.9787,4.69,95.5,97.5,False,None,True,,,Synchronized Swimming|Underwater Performance|Diving|Water Choreography,Reliable under pressure and recommended for future productions.
CRD-00024,TAL-0470,CLI-0120,Seamless background architecture Parade,Outdoor Multimedia Spectacle,SFX Technician,2024-05-30,2024-08-13,Berlin,Germany,Completed,21,62151.94,0.9393,4.67,96.1,97.1,False,None,False,,,Effect Maintenance|CO2 Effects|Show Control|Flame Effects,Performance met expectations with minor consistency notes.
CRD-00025,TAL-0475,CLI-0092,Integrated hybrid structure Ceremony,Large-Scale Parade,Acrobatic Performer,2024-12-21,2025-06-22,Macau,Macau,Completed,21,195879.31,1.0,4.63,100.0,87.9,False,None,True,,,Hand Balancing|Tumbling|Teeterboard|Chinese Pole|Safety Spotting,High-quality contribution with positive ensemble behaviour.
CRD-00026,TAL-0183,CLI-0031,Up-sized mission-critical moderator Ceremony,Large-Scale Parade,Parkour Artist,2022-03-24,2022-06-22,Cape Town,South Africa,Completed,14,50512.89,0.9404,4.75,86.9,91.7,False,None,True,,,Parkour|Precision Jumps|Freerunning|Safety Spotting,Performance met expectations with minor consistency notes.
CRD-00027,TAL-0494,CLI-0146,Open-source zero administration installation Ceremony,Resident Aquatic Show,High Diver,2023-12-18,2024-03-05,Seoul,South Korea,Completed with Notes,145,60756.18,0.9863,4.36,85.3,99.8,False,None,True,,,High Diving|Platform Diving|Wet-to-Dry Transitions|Water Entry Technique|Aquatic Rescue,Technically capable but required additional rehearsal support.
CRD-00028,TAL-0376,CLI-0141,Re-engineered asynchronous capacity Parade,Themed Entertainment Spectacle,Lighting Designer,2024-09-25,2024-10-16,Buenos Aires,Argentina,Completed,6,24786.0,0.99,4.82,100.0,96.4,False,None,True,,,Architectural Lighting|Creative Content Integration|Previsualization|Lighting Design|Projection Design,Technically capable but required additional rehearsal support.
CRD-00029,TAL-0262,CLI-0131,Intuitive secondary archive Parade,Themed Entertainment Spectacle,Acrobatic Performer,2024-04-21,2024-06-15,Seoul,South Korea,Completed,11,28696.78,0.8945,4.35,95.2,93.3,False,None,False,,,Tumbling|Hand Balancing|Harness Work,Technically capable but required additional rehearsal support.
CRD-00030,TAL-0296,CLI-0019,Organized maximized software Parade,Large-Scale Parade,Trampoline Artist,2023-12-04,2024-04-25,Singapore,Singapore,Completed,15,46757.64,0.9312,4.39,74.5,93.0,False,None,True,,,Ensemble Timing|Landing Technique,Performance met expectations with minor consistency notes.
CRD-00031,TAL-0373,CLI-0040,Programmable grid-enabled capacity Parade,Large-Scale Parade,Puppeteer,2023-05-15,2023-07-13,Tokyo,Japan,Completed,4,24570.7,0.9571,4.66,91.1,98.7,False,None,True,,,Creature Movement|Large-Scale Puppetry|Backstage Coordination,Reliable under pressure and recommended for future productions.
CRD-00032,TAL-0139,CLI-0117,Vision-oriented neutral productivity Show,Immersive Theatre,Sound Designer,2026-02-01,2026-02-18,Abu Dhabi,UAE,Completed,3,15109.02,0.9488,4.09,82.0,98.5,False,None,False,,,Performance Reports|Cover Rehearsals,Adapted quickly to creative notes and technical changes.
CRD-00033,TAL-0250,CLI-0052,Reverse-engineered contextually-based throughput Show,Integrated Resort Show,Dancer,2025-02-05,2025-07-18,Johannesburg,South Africa,Completed,12,90970.59,0.9836,3.94,95.4,100.0,False,None,False,,,Ensemble Choreography|Wind Assessment|Character Movement|Aerial Timing,Strong rehearsal discipline and dependable show execution.
CRD-00034,TAL-0197,CLI-0093,De-engineered intermediate middleware Ceremony,Outdoor Multimedia Spectacle,Production Manager,2023-12-25,2024-06-15,Tokyo,Japan,Completed,15,182907.26,0.9477,4.51,85.2,98.6,False,None,True,,,Production Management|Budget Control|Master Scheduling|Opening Readiness,Adapted quickly to creative notes and technical changes.
CRD-00035,TAL-0451,CLI-0121,Centralized bottom-line model Experience,Experiential Dining Show,Character Performer,2023-05-04,2023-08-29,Delhi,India,Completed,16,68716.29,0.8954,4.03,94.0,98.2,False,None,False,,,Audience Interaction|Mask Performance|Physical Theatre,Performance met expectations with minor consistency notes.
CRD-00036,TAL-0459,CLI-0108,Distributed exuding concept Show,Themed Entertainment Spectacle,Puppeteer,2025-02-06,2025-03-08,Barcelona,Spain,Completed,18,23223.67,0.9262,4.4,84.1,86.7,False,None,False,,,Prop Handling|Creature Movement|Large-Scale Puppetry,Technically capable but required additional rehearsal support.
CRD-00037,TAL-0269,CLI-0058,Diverse fresh-thinking strategy Experience,Experiential Dining Show,Sound Designer,2022-06-07,2022-10-06,Bangkok,Thailand,Completed,3,131942.82,1.0,4.49,98.6,94.8,False,None,True,,,Show Control|Wireless Coordination,Technically capable but required additional rehearsal support.
CRD-00038,TAL-0073,CLI-0064,Face-to-face grid-enabled model Experience,Opening Ceremony,Dancer,2022-06-29,2022-10-28,Barcelona,Spain,Completed,4,52165.56,0.9079,4.03,74.8,100.0,False,None,False,,,Character Movement|Night Rehearsals|Ensemble Choreography|Bollywood Dance|Movement Direction,High-quality contribution with positive ensemble behaviour.
CRD-00039,TAL-0410,CLI-0014,Horizontal attitude-oriented extranet Show,Large-Scale Parade,Trampoline Artist,2022-11-24,2022-12-17,Las Vegas,United States,Completed with Notes,10,7666.12,0.9355,4.92,100.0,100.0,False,None,False,,,Safety Spotting|Harness Familiarity|Trampoline|Character Acting|Landing Technique|Sight Reading,Performance met expectations with minor consistency notes.
CRD-00040,TAL-0418,CLI-0070,Exclusive scalable neural-net Spectacle,Large-Scale Parade,BMX Rider,2024-09-07,2024-12-04,Mumbai,India,Completed,17,61727.76,0.947,4.9,100.0,99.3,False,None,True,,,Precision Riding|BMX Flatland|Protective Equipment|Jump Sequences|Parade Performance,Technically capable but required additional rehearsal support.
CRD-00041,TAL-0254,CLI-0124,Grass-roots clear-thinking product Experience,Outdoor Multimedia Spectacle,Drone Show Technician,2023-09-07,2023-09-17,Cape Town,South Africa,Completed,10,15089.1,1.0,4.2,100.0,91.2,False,None,False,,,Weather Monitoring|Fleet Management|GNSS Systems|Show Programming|Airspace Coordination|Flight Planning,Technically capable but required additional rehearsal support.
CRD-00042,TAL-0493,CLI-0070,Innovative reciprocal monitoring Experience,Large-Scale Parade,Props & Fabrication Specialist,2025-04-27,2025-07-02,Melbourne,Australia,Completed,12,45958.03,0.9538,4.86,94.5,98.3,False,None,False,,,Sculpting|Technical Drawings,Technically capable but required additional rehearsal support.
CRD-00043,TAL-0318,CLI-0009,Cross-group motivating project Ceremony,Festival Headline Production,Production Coordinator,2024-02-27,2024-03-16,Tokyo,Japan,Completed,12,7565.01,0.9246,4.9,92.5,100.0,False,None,False,,,Vendor Coordination|Visa Coordination,Technically capable but required additional rehearsal support.
CRD-00044,TAL-0074,CLI-0094,Down-sized optimizing paradigm Parade,Large-Scale Parade,Puppeteer,2023-10-27,2024-03-09,Tokyo,Japan,Completed with Notes,11,87408.06,0.9782,4.72,92.3,96.9,False,None,True,,,Creature Movement|Rod Puppetry,Strong rehearsal discipline and dependable show execution.
CRD-00045,TAL-0438,CLI-0178,Distributed composite protocol Ceremony,Resident Aquatic Show,Aquatic Performer,2025-08-11,2025-09-22,Bangkok,Thailand,Completed,162,18345.01,0.9207,3.85,81.3,83.4,False,None,False,,,Aquatic Rescue|Diving|Water Choreography|Wet Stage Movement|Underwater Performance|Breath Hold,High-quality contribution with positive ensemble behaviour.
CRD-00046,TAL-0321,CLI-0149,Secured uniform portal Experience,Resident Aquatic Show,High Diver,2024-10-06,2024-10-13,Cape Town,South Africa,Completed,18,5321.44,0.9699,4.57,100.0,94.3,False,None,True,,,High Diving|Dive Choreography|Platform Diving,High-quality contribution with positive ensemble behaviour.
CRD-00047,TAL-0007,CLI-0172,Mandatory non-volatile analyzer Spectacle,Opening Ceremony,Pyrotechnics Technician,2023-04-27,2023-07-20,Paris,France,Cancelled,3,102861.5,0.9166,2.6,95.7,93.4,False,None,False,Client,Visa delay,Pyrotechnics|Firing Systems|Weather Monitoring|Misfire Procedures,Reliable under pressure and recommended for future productions.
CRD-00048,TAL-0254,CLI-0150,Assimilated attitude-oriented analyzer Spectacle,Outdoor Multimedia Spectacle,Drone Show Technician,2024-03-31,2024-06-29,Manila,Philippines,Completed,9,123161.07,0.9658,4.13,100.0,100.0,False,None,False,,,Airspace Coordination|Flight Planning|GNSS Systems|Show Programming|Fleet Management,Technically capable but required additional rehearsal support.
CRD-00049,TAL-0341,CLI-0011,Stand-alone zero administration orchestration Ceremony,Large-Scale Parade,Costume Technician,2023-01-01,2023-01-21,Cape Town,South Africa,Completed,10,11854.04,0.9491,4.15,88.0,100.0,False,None,True,,,Waterproofing|Fittings,Strong rehearsal discipline and dependable show execution.
CRD-00050,TAL-0096,CLI-0004,Fundamental solution-oriented database Spectacle,Experiential Dining Show,Character Performer,2022-05-08,2022-10-23,Singapore,Singapore,Completed,5,46608.24,0.9401,4.83,82.6,93.4,False,None,False,,,Audience Interaction|Parade Performance|Movement Direction|Costume Endurance,Strong rehearsal discipline and dependable show execution.
CRD-00051,TAL-0318,CLI-0082,Visionary object-oriented instruction set Show,Festival Headline Production,Stage Manager,2023-06-02,2023-10-23,Sydney,Australia,Completed,6,67391.15,0.9334,4.83,78.4,95.4,False,None,True,,,Vendor Coordination|Cast Logistics|Travel Logistics|Run of Show|Visa Coordination|Incident Reporting,High-quality contribution with positive ensemble behaviour.
CRD-00052,TAL-0026,CLI-0089,Secured scalable algorithm Experience,Opening Ceremony,Pyrotechnics Technician,2025-10-31,2026-03-31,Abu Dhabi,UAE,Completed,18,177915.9,0.9977,3.85,77.3,99.3,False,None,False,,,Misfire Procedures|Cue Programming|Moving Lights|Pyrotechnics|Site Safety,Technically capable but required additional rehearsal support.
CRD-00053,TAL-0049,CLI-0027,Proactive responsive moratorium Ceremony,Experiential Dining Show,Sound Designer,2024-02-09,2024-05-02,Delhi,India,Completed,5,54822.49,0.9622,4.4,76.0,99.1,False,None,True,,,Waterproof Costumes|Show Control|Vendor Coordination|Spatial Audio|Design Documentation|System Design,Strong rehearsal discipline and dependable show execution.
CRD-00054,TAL-0483,CLI-0160,Implemented secondary framework Parade,Themed Entertainment Spectacle,Lighting Designer,2026-01-31,2026-02-15,Buenos Aires,Argentina,Completed,7,15557.34,0.9287,4.01,79.3,96.7,False,None,False,,,Architectural Lighting|Timecode|Laser Integration|Programming Supervision,Performance met expectations with minor consistency notes.
CRD-00055,TAL-0391,CLI-0105,Polarized dynamic workforce Experience,Themed Entertainment Spectacle,SFX Technician,2024-06-06,2024-08-03,Montreal,Canada,Completed,9,26251.76,0.9509,3.67,74.5,97.7,False,None,False,,,Show Control|Risk Assessment|Effect Maintenance|CO2 Effects,Adapted quickly to creative notes and technical changes.
CRD-00056,TAL-0426,CLI-0106,Synergized impactful framework Parade,Resident Aquatic Show,Aquatic Performer,2025-08-12,2025-09-12,Hong Kong,Hong Kong,Early Termination,2,13482.75,0.9408,4.2,82.5,97.1,False,None,False,Talent,Schedule conflict,Breath Hold|Aquatic Rescue|Wet Stage Movement,Technically capable but required additional rehearsal support.
CRD-00057,TAL-0345,CLI-0139,Persevering asynchronous solution Ceremony,Opening Ceremony,Lighting Designer,2023-07-12,2023-08-20,Dubai,UAE,Completed,4,32042.33,0.9647,3.97,73.3,96.7,False,None,False,,,Wireless Coordination|Sound Design|Timecode|Playback Systems|Laser Integration,Technically capable but required additional rehearsal support.
CRD-00058,TAL-0369,CLI-0043,Centralized cohesive intranet Experience,Resident Aquatic Show,Automation Technician,2025-09-21,2026-03-10,Manila,Philippines,Completed,102,85280.39,1.0,4.81,87.1,100.0,False,None,True,,,Hydraulic Integration|PLC Systems|Preventive Maintenance|Motion Control|Fault Diagnosis,Strong rehearsal discipline and dependable show execution.
CRD-00059,TAL-0009,CLI-0062,Operative mission-critical Local Area Network Ceremony,Urban Mega-Celebration,Drone Show Technician,2023-04-17,2023-09-11,Berlin,Germany,Completed,2,197193.99,1.0,3.85,100.0,98.0,False,None,False,,,Show Running|Repairs|Drone Show Operations|Motion Systems|Emergency Procedures|Flight Planning,Reliable under pressure and recommended for future productions.
CRD-00060,TAL-0286,CLI-0008,Expanded global portal Parade,Experiential Dining Show,Costume Designer,2022-08-31,2023-02-12,Montreal,Canada,Completed,5,56035.05,0.9436,4.25,71.6,97.1,False,None,False,,,Vendor Coordination|Quick-Change Planning|Fabric Selection,Reliable under pressure and recommended for future productions.
CRD-00061,TAL-0149,CLI-0077,Digitized foreground structure Show,Large-Scale Parade,Puppeteer,2023-01-01,2023-04-17,Singapore,Singapore,Completed,11,85253.79,0.9041,4.32,97.4,96.8,False,None,False,,,Rod Puppetry|Character Interpretation|Prop Handling,Technically capable but required additional rehearsal support.
CRD-00062,TAL-0467,CLI-0165,Intuitive upward-trending hardware Ceremony,Opening Ceremony,Lighting Designer,2022-11-30,2023-03-12,Jeddah,Saudi Arabia,Completed,18,149585.12,0.9905,4.16,100.0,92.0,False,None,False,,,Show Control|Programming Supervision|Laser Integration,High-quality contribution with positive ensemble behaviour.
CRD-00063,TAL-0323,CLI-0018,Open-architected clear-thinking task-force Experience,Integrated Resort Show,Show Director,2025-11-20,2025-12-19,Seoul,South Korea,Completed,1,32059.85,0.9792,4.37,78.4,95.4,True,Minor,False,,,Stakeholder Presentations|Rehearsal Direction,Strong rehearsal discipline and dependable show execution.
CRD-00064,TAL-0046,CLI-0012,Multi-layered multimedia open architecture Show,Experiential Dining Show,Lighting Designer,2022-06-21,2022-07-06,Amsterdam,Netherlands,Completed,5,15329.8,0.9247,3.96,94.5,95.5,False,None,False,,,Laser Integration|Programming Supervision|Timecode|Previsualization|Lighting Design,High-quality contribution with positive ensemble behaviour.
CRD-00065,TAL-0220,CLI-0105,Customer-focused foreground encoding Experience,Urban Mega-Celebration,Rigger,2021-12-27,2022-04-24,Johannesburg,South Africa,Completed,7,76656.18,0.9623,4.51,70.9,100.0,False,None,True,,,Temporary Structures|Confetti Systems|High-Wire Rigging|Water Stage Rigging,Adapted quickly to creative notes and technical changes.
CRD-00066,TAL-0001,CLI-0167,Persistent bottom-line flexibility Experience,Cultural Landmark Ceremony,Character Performer,2022-02-21,2022-04-30,Amsterdam,Netherlands,Completed,3,32243.64,0.9587,4.33,84.6,99.3,False,None,True,,,Character Acting|Costume Endurance|Risk Assessment,Reliable under pressure and recommended for future productions.
CRD-00067,TAL-0351,CLI-0082,Organized dynamic circuit Ceremony,Opening Ceremony,Drone Show Technician,2022-12-28,2023-05-26,Mumbai,India,Completed,16,152901.97,1.0,4.68,100.0,100.0,False,None,True,,,Authority Coordination|Weather Monitoring|Explosive Safety,Reliable under pressure and recommended for future productions.
CRD-00068,TAL-0140,CLI-0066,Cross-platform actuating frame Ceremony,Urban Mega-Celebration,Tightrope Walker,2025-09-26,2025-11-07,Dubai,UAE,Completed,14,33481.34,0.9976,5.0,77.9,100.0,False,None,True,,,Night Rehearsals|High Wire|Balance Performance|Tightrope|Wind Assessment,Technically capable but required additional rehearsal support.
CRD-00069,TAL-0184,CLI-0083,Networked reciprocal instruction set Parade,Opening Ceremony,Projection Designer,2025-12-07,2026-04-12,Tokyo,Japan,Completed,19,90758.28,0.9989,4.87,69.1,100.0,False,None,True,,,Media Servers|Show Control|Large-Format Projection|Previsualization|Timecode,High-quality contribution with positive ensemble behaviour.
CRD-00070,TAL-0144,CLI-0084,Fully-configurable cohesive Graphic Interface Show,Urban Mega-Celebration,Bungee Performer,2022-03-27,2022-05-21,Macau,Macau,Completed,18,38725.63,0.9502,3.92,100.0,93.5,False,None,False,,,Dynamic Drops|Aerial Timing|Emergency Procedures|Harness Work|Bungee Choreography,Performance met expectations with minor consistency notes.
CRD-00071,TAL-0140,CLI-0071,Re-engineered uniform functionalities Spectacle,Urban Mega-Celebration,Tightrope Walker,2024-11-22,2025-05-06,Barcelona,Spain,Completed,10,137618.3,1.0,4.39,97.8,94.6,False,None,True,,,High Wire|Tightrope|Balance Performance|Wind Assessment,Strong rehearsal discipline and dependable show execution.
CRD-00072,TAL-0333,CLI-0137,Ergonomic well-modulated complexity Parade,Experiential Dining Show,Lighting Designer,2023-12-16,2024-04-14,Buenos Aires,Argentina,Completed,15,112426.39,0.9753,3.92,90.0,88.8,False,None,False,,,Architectural Lighting|Previsualization,Strong rehearsal discipline and dependable show execution.
CRD-00073,TAL-0256,CLI-0173,Proactive multimedia Local Area Network Experience,Immersive Theatre,Show Director,2023-07-06,2023-12-15,Amsterdam,Netherlands,Completed,4,286384.42,0.9655,4.18,94.6,96.2,False,None,True,,,Timecode|Cross-Department Leadership,Strong rehearsal discipline and dependable show execution.
CRD-00074,TAL-0187,CLI-0094,Proactive fault-tolerant methodology Experience,Large-Scale Parade,BMX Rider,2026-03-27,2026-04-16,Cape Town,South Africa,Completed,14,8951.65,0.9242,4.61,85.7,98.4,False,None,False,,,Click Track|Live Performance|Choreographed Riding|Risk Assessment|Jump Sequences,Technically capable but required additional rehearsal support.
CRD-00075,TAL-0065,CLI-0016,Ameliorated background infrastructure Spectacle,Integrated Resort Show,Strap Artist,2024-06-24,2024-11-19,Singapore,Singapore,Completed,7,69716.6,0.9221,4.43,93.2,98.7,False,None,False,,,Strength Acrobatics|Flying Systems|Cue Precision|Backstage Coordination|Partner Straps|Creature Movement,Adapted quickly to creative notes and technical changes.
CRD-00076,TAL-0116,CLI-0020,Profit-focused logistical encoding Show,Large-Scale Parade,Trampoline Artist,2025-05-18,2025-07-25,Berlin,Germany,Completed,8,18616.92,0.9044,3.53,82.4,100.0,False,None,False,,,Trampoline|Harness Familiarity,Reliable under pressure and recommended for future productions.
CRD-00077,TAL-0422,CLI-0178,Extended optimal help-desk Parade,Immersive Theatre,Scenic Designer,2022-06-18,2022-10-10,Hong Kong,Hong Kong,Completed,8,132757.66,0.8788,4.25,81.0,100.0,False,None,False,,,Creative Visualization|Material Specification|Fabrication Oversight|Technical Drafting|Large-Scale Scenography|Scenic Design,Adapted quickly to creative notes and technical changes.
CRD-00078,TAL-0015,CLI-0166,Business-focused actuating forecast Ceremony,Resident Aquatic Show,Hydraulics Technician,2023-01-24,2023-07-23,Mumbai,India,Completed with Notes,110,87675.49,0.9591,4.68,100.0,93.4,False,None,True,,,Stage Machinery|Hydraulic Systems|Previsualization,Performance met expectations with minor consistency notes.
CRD-00079,TAL-0496,CLI-0103,Proactive radical projection Experience,Immersive Theatre,Bungee Performer,2022-12-06,2023-04-29,Toronto,Canada,Cancelled,4,44627.45,1.0,2.48,93.9,89.2,False,None,False,Production,Funding change,Dynamic Drops|Partnering,Reliable under pressure and recommended for future productions.
CRD-00080,TAL-0356,CLI-0099,Synergistic methodical forecast Experience,Resident Aquatic Show,High Diver,2023-02-20,2023-08-20,Orlando,United States,Completed,118,160747.5,0.9837,4.42,100.0,97.9,False,None,False,,,Water Entry Technique|Safety Briefings|Dive Choreography|Wet-to-Dry Transitions,Reliable under pressure and recommended for future productions.
CRD-00081,TAL-0270,CLI-0034,Public-key 24/7 benchmark Ceremony,Outdoor Multimedia Spectacle,Aerial Artist,2025-12-31,2026-03-17,Tokyo,Japan,Completed,14,22974.65,0.9205,4.31,84.0,100.0,False,None,False,,,Bungee Choreography|Flying Harness|Water Choreography|Cue Precision|Aerial Hoop,Strong rehearsal discipline and dependable show execution.
CRD-00082,TAL-0135,CLI-0039,Optional client-driven firmware Show,Resident Aquatic Show,Aquatic Performer,2025-08-30,2025-10-08,Tokyo,Japan,Completed,124,11393.92,0.9779,3.3,79.9,98.0,True,Minor,False,,,Aquatic Rescue|Synchronized Swimming|Wet Stage Movement|Water Choreography,Technically capable but required additional rehearsal support.
CRD-00083,TAL-0062,CLI-0128,Upgradable high-level task-force Spectacle,Cultural Landmark Ceremony,Production Manager,2026-01-21,2026-05-08,Orlando,United States,Completed,9,96332.06,0.9551,4.61,90.5,92.0,False,None,True,,,Cue Management|Contract Administration|Accommodation Planning,Technically capable but required additional rehearsal support.
